IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
13.40.42.44,443,443,true,LHR,Europe,GB,London,342,9.17
44.243.37.150,8443,443,true,SEA,North America,US,Seattle,299,9.16
54.187.186.223,443,443,true,PDX,North America,US,Portland,249,9.15
52.37.220.243,443,443,true,PDX,North America,US,Portland,241,9.14
54.186.243.61,443,443,true,SEA,North America,US,Seattle,317,9.13
54.245.189.199,443,443,true,PDX,North America,US,Portland,303,9.13
54.212.161.93,443,443,true,PDX,North America,US,Portland,277,9.13
52.38.101.212,443,443,true,SEA,North America,US,Seattle,279,9.11
52.33.42.215,8443,443,true,PDX,North America,US,Portland,497,9.11
54.202.37.175,443,443,true,PDX,North America,US,Portland,228,9.10
35.91.163.254,443,443,true,SEA,North America,US,Seattle,336,9.10
52.12.228.61,443,443,true,SEA,North America,US,Seattle,234,9.09
52.40.178.237,8443,443,true,PDX,North America,US,Portland,257,9.09
52.13.28.170,8880,443,true,SEA,North America,US,Seattle,341,9.08
54.186.157.44,443,443,true,SEA,North America,US,Seattle,268,9.08
52.11.38.216,443,443,true,SEA,North America,US,Seattle,341,9.07
44.245.200.255,8443,443,true,SEA,North America,US,Seattle,267,9.06
54.187.67.248,443,443,true,SEA,North America,US,Seattle,294,9.04
54.203.8.44,8443,443,true,PDX,North America,US,Portland,337,9.04
44.245.180.242,8443,443,true,SEA,North America,US,Seattle,249,9.04
35.92.73.133,443,443,true,SEA,North America,US,Seattle,355,9.03
52.27.193.176,443,443,true,SEA,North America,US,Seattle,331,9.03
44.245.16.41,443,443,true,SEA,North America,US,Seattle,284,9.02
54.201.35.115,443,443,true,PDX,North America,US,Portland,321,9.02
54.186.154.101,8443,443,true,PDX,North America,US,Portland,222,9.02
54.213.215.13,2053,443,true,PDX,North America,US,Portland,279,9.01
54.185.114.136,443,443,true,SEA,North America,US,Seattle,257,9.01
54.202.187.214,443,443,true,PDX,North America,US,Portland,236,9.01
54.212.172.145,443,443,true,PDX,North America,US,Portland,242,9.01
54.218.102.220,443,443,true,PDX,North America,US,Portland,296,9.01
54.202.255.59,8443,443,true,SEA,North America,US,Seattle,313,9.00
13.40.48.21,443,443,true,LHR,Europe,GB,London,306,9.00
44.243.219.229,8443,443,true,SEA,North America,US,Seattle,313,8.99
54.244.150.162,443,443,true,PDX,North America,US,Portland,304,8.98
54.185.65.78,443,443,true,PDX,North America,US,Portland,267,8.97
54.189.7.202,443,443,true,PDX,North America,US,Portland,326,8.96
54.245.136.85,443,443,true,PDX,North America,US,Portland,312,8.95
35.95.10.114,8443,443,true,SEA,North America,US,Seattle,252,8.95
52.40.178.237,2053,443,true,PDX,North America,US,Portland,297,8.95
35.92.177.52,443,443,true,SEA,North America,US,Seattle,278,8.93
13.40.129.145,8443,443,true,LHR,Europe,GB,London,300,8.91
54.148.167.46,443,443,true,PDX,North America,US,Portland,392,8.91
44.244.74.165,443,443,true,SEA,North America,US,Seattle,264,8.90
67.226.223.176,80,443,true,LHR,Europe,GB,London,155,8.90
67.226.223.217,80,443,true,LHR,Europe,GB,London,481,8.89
52.12.247.89,443,443,true,PDX,North America,US,Portland,226,8.89
52.42.71.111,443,443,true,SEA,North America,US,Seattle,313,8.88
54.185.122.4,443,443,true,PDX,North America,US,Portland,260,8.86
54.202.34.34,8443,443,true,PDX,North America,US,Portland,262,8.86
54.185.156.193,443,443,true,PDX,North America,US,Portland,390,8.85
54.185.75.216,443,443,true,PDX,North America,US,Portland,263,8.85
35.91.163.32,443,443,true,SEA,North America,US,Seattle,233,8.82
54.203.61.251,443,443,true,SEA,North America,US,Seattle,293,8.82
52.12.52.41,443,443,true,SEA,North America,US,Seattle,287,8.81
35.92.177.187,443,443,true,SEA,North America,US,Seattle,403,8.81
52.24.4.226,443,443,true,SEA,North America,US,Seattle,231,8.81
52.35.114.64,443,443,true,SEA,North America,US,Seattle,224,8.80
35.92.30.157,443,443,true,SEA,North America,US,Seattle,329,8.79
44.245.162.238,8443,443,true,SEA,North America,US,Seattle,330,8.79
54.212.231.115,443,443,true,PDX,North America,US,Portland,309,8.77
52.12.48.55,443,443,true,PDX,North America,US,Portland,418,8.75
54.149.236.183,443,443,true,PDX,North America,US,Portland,392,8.75
35.92.110.202,443,443,true,SEA,North America,US,Seattle,266,8.74
35.92.110.131,443,443,true,SEA,North America,US,Seattle,366,8.72
52.13.91.32,443,443,true,SEA,North America,US,Seattle,233,8.72
52.36.203.225,8443,443,true,SEA,North America,US,Seattle,233,8.70
13.40.148.36,443,443,true,LHR,Europe,GB,London,318,8.69
54.200.93.96,443,443,true,SEA,North America,US,Seattle,321,8.68
54.185.101.16,443,443,true,SEA,North America,US,Seattle,325,8.64
52.26.99.104,443,443,true,SEA,North America,US,Seattle,363,8.63
13.40.24.55,443,443,true,LHR,Europe,GB,London,324,8.63
54.188.252.96,443,443,true,PDX,North America,US,Portland,317,8.59
54.189.125.205,443,443,true,SEA,North America,US,Seattle,368,8.59
54.190.161.208,8443,443,true,PDX,North America,US,Portland,308,8.59
52.13.162.52,8443,443,true,SEA,North America,US,Seattle,259,8.57
54.184.132.137,443,443,true,PDX,North America,US,Portland,288,8.55
52.53.250.40,80,443,true,SJC,North America,US,San Jose,342,8.55
54.219.214.194,80,443,true,SJC,North America,US,San Jose,317,8.55
54.151.68.167,443,443,true,SJC,North America,US,San Jose,380,8.55
52.35.181.208,443,443,true,PDX,North America,US,Portland,244,8.55
54.151.9.4,80,443,true,SJC,North America,US,San Jose,358,8.54
54.241.79.250,80,443,true,SJC,North America,US,San Jose,226,8.54
54.177.87.111,80,443,true,SJC,North America,US,San Jose,305,8.54
54.213.215.13,8443,443,true,PDX,North America,US,Portland,324,8.53
54.193.104.34,80,443,true,SJC,North America,US,San Jose,257,8.53
54.177.196.101,80,443,true,SJC,North America,US,San Jose,436,8.51
54.214.116.192,443,443,true,SEA,North America,US,Seattle,301,8.51
13.40.48.180,443,443,true,LHR,Europe,GB,London,178,8.50
35.86.103.146,8443,443,true,SEA,North America,US,Seattle,265,8.50
54.190.8.148,443,443,true,PDX,North America,US,Portland,218,8.50
54.200.244.93,443,443,true,SEA,North America,US,Seattle,482,8.48
52.37.108.204,443,443,true,SEA,North America,US,Seattle,318,8.48
54.219.247.184,80,443,true,SJC,North America,US,San Jose,329,8.48
54.219.130.94,80,443,true,SJC,North America,US,San Jose,279,8.48
13.40.175.193,443,443,true,LHR,Europe,GB,London,333,8.48
54.183.157.77,80,443,true,SJC,North America,US,San Jose,271,8.48
54.213.151.151,443,443,true,PDX,North America,US,Portland,289,8.47
54.176.113.170,80,443,true,SJC,North America,US,San Jose,291,8.45
13.40.32.35,443,443,true,LHR,Europe,GB,London,337,8.45
3.68.197.87,8080,443,true,FRA,Europe,DE,Frankfurt,270,8.44
51.20.99.157,443,443,true,AMS,Europe,NL,Amsterdam,321,8.43
54.149.107.42,443,443,true,SEA,North America,US,Seattle,317,8.40
13.40.98.129,443,443,true,LHR,Europe,GB,London,304,8.38
52.43.130.186,443,443,true,SEA,North America,US,Seattle,326,8.38
35.91.225.122,8443,443,true,SEA,North America,US,Seattle,380,8.38
13.40.123.164,443,443,true,LHR,Europe,GB,London,293,8.37
54.191.10.52,8443,443,true,PDX,North America,US,Portland,400,8.36
54.189.62.24,443,443,true,PDX,North America,US,Portland,332,8.35
54.189.75.15,443,443,true,PDX,North America,US,Portland,312,8.32
67.226.221.58,80,443,true,SJC,North America,US,San Jose,506,8.32
